# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 315, mean track length: 2
33 1.0552263709568297 6.0965065205492932 27.923086294513283 226 160 82 0.27038524940741693 31 38 30 65
34 -1.0624798348277111 7.6111186498861469 28.589920104696606 103 63 23 0.4719567353424089 31 151 30 66
35 1.0614793670510188 6.7174708558648897 27.485496932509886 69 84 79 0.021694369086463071 31 66 30 67
36 -1.9309428306433136 5.4278843953930966 31.095791451871037 28 13 9 0.018547206642371188 31 74 30 68
37 -1.1150576923078137 5.8148072678963505 30.276752455932662 34 14 12 0.18104395295519021 31 76 30 69
38 2.0897047237079507 6.7134255549073538 28.609436506569249 214 178 64 0.85275237963303063 31 103 30 71
39 -1.1023167168222077 5.2039034266641959 31.108716777944149 121 109 74 0.70626586700495952 31 40 30 72
40 -0.96274545059255767 6.006857822732977 30.020597999933177 24 16 7 0.36480952310834242 31 56 30 73
41 1.0614793670510188 6.7174708558648897 27.485496932509886 69 84 79 0.021694369086463071 31 59 30 74
42 0.94430761853483502 4.885987206908144 29.782308992988089 229 205 110 0.22366193777346471 31 71 30 76
43 1.7655290555609391 5.930850557758057 26.748244442243191 200 133 48 1.9398042432461184 31 91 30 77
44 -1.1962816915692005 6.0443136387888572 30.052026212415491 130 139 88 0.34558767667372459 31 57 30 78
45 3.111186654623884 5.7894934935282878 29.748134661448237 23 3 2 0.87250118027741719 31 44 30 79
46 -0.96274545059255767 6.006857822732977 30.020597999933177 24 16 7 0.36480952310834242 31 70 30 80
47 -1.0596987983393902 4.2257664613934702 32.595919686992353 233 204 97 0.14131567116646004 31 80 30 83
48 -0.4334944125695207 4.0926436314283956 32.001095428131876 227 166 92 1.1163682624886042 31 46 30 84
49 -1.2198434386867389 5.5671982975883676 30.592867174291616 26 13 9 0.23979402757645044 31 75 30 87
50 -1.1150576923078137 5.8148072678963505 30.276752455932662 34 14 12 0.18104395295519021 31 63 30 88
51 -0.4334944125695207 4.0926436314283956 32.001095428131876 227 166 92 1.1163682624886042 31 48 30 89
52 -0.085054025017561763 4.5105926899848257 31.191006532024133 230 220 131 0.23907680206845672 31 77 30 90
53 -1.2198434386867389 5.5671982975883676 30.592867174291616 26 13 9 0.23979402757645044 31 62 30 91
54 0.10375612867235544 4.8704882264104663 30.72345073818887 238 232 178 0.2550034212722308 31 98 30 93
55 -2.0551091562372714 5.134573506814565 31.429522891368794 31 10 6 0.040191698528676163 31 94 30 94
56 -1.720086047034036 4.9745191458415867 32.119983739230847 74 50 24 2.4144770677682463 31 72 30 96
57 -0.37833693517789013 6.9449258172156876 28.465836420222121 27 23 16 0.39734794830414688 31 83 30 98
58 -1.0975470650048766 6.1272970409736036 29.732797772495264 121 135 83 0.15607541237770717 31 84 30 100
59 1.1547512116934897 5.534906201004592 29.053605609813793 145 37 11 0.11839922113168848 31 131 30 101
60 0.76290276123265932 5.4078948242631437 29.310469327328573 133 78 56 0.069641356650664482 31 93 30 102
61 -1.720086047034036 4.9745191458415867 32.119983739230847 74 50 24 2.4144770677682463 31 78 30 105
62 0.3244291917690737 4.3066062480189808 31.139270153418149 42 8 4 0.24126378688932648 31 85 30 109
63 -1.3605343718898499 6.5002154146172835 29.39678743178159 28 7 3 0.06563347158320823 31 90 30 112
64 0.36270149446887151 4.6165274113191801 30.663381790582484 229 224 166 0.12056270072618577 31 118 30 114
65 2.3993780498042421 4.6083490335540374 31.177685965104345 119 69 39 0.57818442236004675 31 87 30 115
66 5.2552681851320697 5.0906348637748566 29.192805611476839 120 114 101 0.41742863584528034 31 116 30 119
67 1.4334941883633652 5.4137685033245777 30.468563950983604 162 83 22 1.3218719300863602 31 126 30 122
68 -1.455642954455534 5.5147706376805665 30.750654098309589 117 119 48 0.30267890061399505 31 133 30 123
69 -1.6140844635652187 5.5464465466171529 30.777982223810522 73 41 38 0.011695086284160156 31 135 30 124
70 -1.3110781023478049 5.7148630747390694 30.45058986311917 122 135 87 0.19578997633763795 31 137 30 126
71 2.0031016320192019 6.0046032925575314 27.328538980348956 123 80 24 0.056548369880660851 31 159 30 130
72 2.1689261901291248 6.2927057606291825 27.052952128462234 113 75 27 0.60507202660265813 31 142 30 133
73 -0.97084857894921539 6.3249943368770767 29.435488677538842 130 121 39 0.079242287827137145 31 143 30 136
74 -1.309081751913417 6.3766770015384333 29.570041325850578 116 130 82 0.025898604057292308 31 144 30 137
75 -1.0368652693137304 7.0042250890181048 28.497070784262185 214 196 63 0.14139534336125748 31 205 30 140
76 -1.0918474742362041 7.0976359137966814 28.416753404170755 29 9 5 0.11752523812590954 31 150 30 141
77 5.2552681851320697 5.0906348637748566 29.192805611476839 120 114 101 0.41742863584528034 31 111 30 143
78 0.33196888063150631 4.6125082276286102 31.523006714147936 229 224 166 0.026001245467996155 31 219 30 145
